A_SLAP_PROBABILITY,A_WIN_PERCENTAGE,TURNS_MEAN,TURNS_STDEV
0.0,0.0012,126,65
0.1,0.0052,153,89
0.2,0.02,198,130
0.3,0.0669,262,192
0.4,0.2107,354,282
0.5,0.5001,394,323
0.6,0.7933,348,274
0.7,0.9316,265,193
0.8,0.9802,200,131
0.9,0.9944,155,89
0.9999999,0.9986,126,64
