A_SLAP_PROBABILITY,A_WIN_PERCENTAGE,TURNS_MEAN,TURNS_STDEV
0.0,0.001345,126,65
0.1,0.005185,154,89
0.2,0.01874,197,128
0.3,0.065892,264,193
0.4,0.209129,351,279
0.5,0.497642,400,328
0.6,0.787932,351,279
0.7,0.93178,265,193
0.8,0.980348,199,129
0.9,0.994487,155,89
0.9999999,0.998524,127,65
